序号,零部件名称,供应商名称,故障类型,故障现象,故障比例(%),根本原因
1,ECU控制器,易动力科技有限公司,电气,短路,0.3,胶水固化参数设置错误
2,ECU控制器,银嘉信息有限公司,尺寸,短路,1.9,来料批次材料硬度超标
3,前门密封条,创汇信息有限公司,材料,压印,0.1,来料批次材料硬度超标
4,线束总成,信诚致远网络有限公司,材料,色差,1.6,来料批次材料硬度超标
5,车门铰链总成,国讯网络有限公司,电气,间隙超差,0.6,设备定位销磨损导致加工位置度超差
6,ECU控制器,太极信息有限公司,材料,压印,0.4,设备定位销磨损导致加工位置度超差
7,线束总成,迪摩网络有限公司,外观,间隙超差,4.2,来料批次材料硬度超标
8,车门铰链总成,中建创业信息有限公司,尺寸,压印,3.5,胶水固化参数设置错误
9,前门密封条,信诚致远信息有限公司,外观,间隙超差,2.3,来料批次材料硬度超标
10,ECU控制器,凌云信息有限公司,外观,划伤,4.6,来料批次材料硬度超标
11,ECU控制器,创汇信息有限公司,材料,间隙超差,2.5,胶水固化参数设置错误
12,后顶盖外板组件,鑫博腾飞信息有限公司,尺寸,色差,0.3,设备定位销磨损导致加工位置度超差
13,车门铰链总成,银嘉信息有限公司,材料,压印,0.7,设备定位销磨损导致加工位置度超差
14,车门铰链总成,浙大万朋网络有限公司,外观,短路,3,胶水固化参数设置错误
15,线束总成,飞利信信息有限公司,材料,间隙超差,1.9,设备定位销磨损导致加工位置度超差
16,前门密封条,四通传媒有限公司,电气,划伤,0.6,来料批次材料硬度超标
17,ECU控制器,凌云网络有限公司,尺寸,间隙超差,1.5,胶水固化参数设置错误
18,前门密封条,戴硕电子网络有限公司,尺寸,划伤,4.2,设备定位销磨损导致加工位置度超差
19,后顶盖外板组件,联软传媒有限公司,外观,短路,3.4,来料批次材料硬度超标
20,车门铰链总成,黄石金承科技有限公司,尺寸,划伤,1.2,设备定位销磨损导致加工位置度超差
21,前门密封条,恩悌信息有限公司,材料,间隙超差,2.6,来料批次材料硬度超标
22,后顶盖外板组件,联通时科信息有限公司,外观,划伤,2,设备定位销磨损导致加工位置度超差
23,线束总成,济南亿次元传媒有限公司,外观,压印,1.5,设备定位销磨损导致加工位置度超差
24,线束总成,和泰网络有限公司,尺寸,划伤,1.3,胶水固化参数设置错误
