零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
ECU控制器,昊嘉信息有限公司,12月30日，涂装车间反馈焊接虚焊导致结构强度不足,功能,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,海创科技有限公司,05月14日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,通际名联信息有限公司,05月20日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,昂歌信息信息有限公司,03月20日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 启动整车排查，排查78台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,时空盒数字网络有限公司,10月13日，涂装车间反馈尺寸超差导致装配间隙过大,功能,外观缺陷,1. 启动整车排查，排查50台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,思优网络有限公司,12月16日，商品化区域反馈表面涂层脱落影响外观质量,尺寸,外观缺陷,1. 启动整车排查，排查80台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,盟新传媒有限公司,06月01日，焊装车间反馈焊接虚焊导致结构强度不足,电气,间隙超差,1. 立即隔离可疑批次，共隔离478件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,天益网络有限公司,01月18日，发运场反馈电子元件短路导致功能失效,尺寸,外观缺陷,1. 立即隔离可疑批次，共隔离314件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,图龙信息信息有限公司,09月07日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,连接强度不足,1. 立即隔离可疑批次，共隔离301件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,鑫博腾飞网络有限公司,09月25日，商品化区域反馈密封条开胶导致漏水风险,电气,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,数字100信息有限公司,09月08日，商品化区域反馈尺寸超差导致装配间隙过大,结构,异响,1. 启动整车排查，排查76台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,晖来计算机科技有限公司,03月05日，总装车间反馈尺寸超差导致装配间隙过大,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,精芯传媒有限公司,08月17日，焊装车间反馈焊接虚焊导致结构强度不足,功能,异响,1. 立即隔离可疑批次，共隔离304件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,华成育卓网络有限公司,11月15日，焊装车间反馈尺寸超差导致装配间隙过大,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,四通网络有限公司,10月10日，焊装车间反馈密封条开胶导致漏水风险,功能,异响,1. 启动整车排查，排查176台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,富罳网络有限公司,12月30日，焊装车间反馈密封条开胶导致漏水风险,尺寸,连接强度不足,1. 启动整车排查，排查67台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,天开传媒有限公司,07月16日，焊装车间反馈密封条开胶导致漏水风险,结构,连接强度不足,1. 启动整车排查，排查173台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,商软冠联传媒有限公司,01月07日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离52件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
